Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
White,M,Seattle Public Utilities,38,21.51,R,A
White,M,Finance & Admin Services,33,31.24,R,A
White,F,Seattle Dept of Transportation,28,23.4,T,A
White,M,Police Department,36,40.06,R,A
White,M,Police Department,48,70.61,R,A
White,M,Human Services Department,54,50.43,R,A
White,F,Seattle Dept of Transportation,59,66.35,R,A
White,M,Seattle City Light,43,61.86,R,A
White,M,Police Department,51,60.58,R,A
White,M,Seattle City Light,33,61.86,R,A
White,F,Information Technology,53,63.95,R,A
White,M,Police Department,51,57.44,R,A
White,M,Seattle City Light,57,72.1329,R,A
White,F,Police Department,37,56.65,R,A
White,M,Sustainability & Environment,39,53.45,R,A
White,F,Seattle Dept of Human Resource,39,73.289,R,A
White,M,Seattle Dept of Transportation,45,77.05,R,A
White,M,Fire Department,53,50.86,R,A
White,M,Seattle Public Utilities,39,41.61,R,A
White,M,Finance & Admin Services,41,27.46,R,A
White,M,Seattle Center,56,31.35,R,A
White,F,Seattle Center,57,35.26,R,A
White,M,Parks & Recreation,64,46.38,R,A
White,M,Fire Department,52,63.33,R,A
White,F,Seattle Public Utilities,47,86.43,R,A
White,F,Fire Department,53,30.09,R,A
White,M,Seattle City Light,65,38.95,R,A
White,M,Fire Department,61,51.7,R,A
White,M,Police Department,43,60.06,R,A
White,F,Seattle City Light,51,46.68,R,A
White,M,Fire Department,54,55.99,R,A
White,M,Police Department,41,55.34,R,A
White,M,Finance & Admin Services,41,41.38,R,A
White,M,Seattle Public Utilities,48,62.2,R,A
White,F,Construction & Inspections,31,48.48,R,A
White,F,Legislative Department,45,81.4177,R,A
White,M,Police Department,57,74.24,R,A
White,M,Construction & Inspections,69,55.39,R,A
White,M,Seattle Public Utilities,39,59.28,R,A
White,M,Information Technology,60,61.606,R,A
White,M,Planning & Comm Development,44,66.624,R,A
White,F,Police Department,52,71.8,R,A
White,M,Seattle Public Utilities,59,38,R,A
White,M,Seattle Public Library,65,35.65,R,A
White,M,Seattle City Light,53,93.34,R,A
White,M,Fire Department,54,56.5,R,A
White,M,Seattle City Light,55,35.74,R,A
White,M,Police Department,72,60.84,R,A
White,F,Law Department,40,70.968,R,A
White,M,Seattle Center,86,18.56,T,A
White,M,Law Department,41,55.3457,R,A
White,M,Fire Department,61,56.82,R,A
White,M,Fire Department,56,76.43,R,A
White,M,Fire Department,42,56.08,R,A
White,M,Police Department,68,64.31,T,A
White,M,Seattle Center,64,18.69,T,A
White,F,Parks & Recreation,39,37.98,R,A
White,F,Seattle Center,43,36.05,T,A
White,F,Police Department,36,63.153,R,A
White,M,Arts & Culture,39,35.74,R,A
White,M,Parks & Recreation,37,20.75,T,A
White,F,Parks & Recreation,44,34.08,R,A
White,F,Seattle Public Library,48,46.07,R,A
White,M,Seattle City Light,66,78.53,R,A
White,F,Seattle Public Utilities,42,57.87,R,A
White,M,Seattle Dept of Transportation,23,26.05,T,A
White,F,Seattle Dept of Transportation,29,23.4,T,A
White,M,Education & Early Learning,24,21.05,T,A
White,M,Fire Department,27,52.32,R,A
White,M,Seattle Dept of Transportation,39,66.35,R,A
White,M,Seattle Dept of Transportation,52,74.186,R,A
White,M,Seattle Dept of Human Resource,37,64.54,R,A
White,F,Construction & Inspections,55,46.68,R,A
White,M,Law Department,35,29.03,R,A
White,M,Construction & Inspections,42,56.25,R,A
White,M,Seattle City Light,55,90.1347,R,A
White,F,Parks & Recreation,20,19.51,T,A
White,F,Seattle City Light,56,32.52,R,A
White,M,Police Department,49,61.36,R,A
White,M,Seattle Center,61,36.05,T,A
White,M,Police Department,53,60.58,R,A
White,M,Seattle Dept of Transportation,30,18.69,R,A
White,F,Seattle Center,42,18.69,T,A
White,M,Seattle City Light,56,40.31,R,A
White,M,Seattle Public Library,35,26.53,R,A
White,M,Police Department,34,47.69,R,A
White,M,Parks & Recreation,19,19.51,T,A
White,M,Seattle City Light,58,47.34,R,A
White,M,Information Technology,59,64.148,R,A
White,M,Police Department,31,54.29,R,A
White,F,Police Department,41,46.68,R,A
White,F,Seattle Dept of Transportation,39,62.682,R,A
White,F,Seattle Dept of Transportation,67,70.63,T,A
White,M,Parks & Recreation,33,19.51,T,A
White,M,Seattle Public Utilities,47,71.399,R,A
White,M,Construction & Inspections,54,55.32,R,A
White,F,Seattle City Light,46,58.4791,R,A
White,F,Legislative Department,47,76.967,R,A
White,M,Construction & Inspections,63,93.104,R,A
White,M,Seattle Public Utilities,53,67.49,R,A
White,F,Parks & Recreation,56,41.83,R,A
White,M,Information Technology,63,71.365,R,A
White,F,Neighborhoods,56,46.68,R,A
White,M,Construction & Inspections,61,52.41,R,A
White,M,Seattle City Light,62,53.45,R,A
White,M,Seattle Public Utilities,40,63.32,R,A
White,F,Finance & Admin Services,63,46.68,R,A
White,F,Information Technology,48,59.353,R,A
White,F,Seattle City Light,61,41.17,R,A
White,M,Seattle City Light,39,61.86,R,A
White,F,Police Department,51,60.78,R,A
White,M,Parks & Recreation,62,35.05,R,A
White,M,Information Technology,57,63.071,R,A
White,M,Police Department,36,57.44,R,A
White,M,Seattle City Light,54,61.86,R,A
White,M,Seattle City Light,46,61.86,R,A
White,F,Police Department,64,39.68,R,A
White,M,Information Technology,62,61.758,R,A
White,F,Seattle City Light,51,69.6,R,A
White,F,Seattle Dept of Transportation,50,63.32,R,A
White,F,Construction & Inspections,62,59.55,R,A
White,M,Seattle City Light,56,67.49,R,A
White,M,Seattle Dept of Transportation,58,49.24,R,A
White,F,Seattle City Light,55,78.53,R,A
White,M,Seattle City Light,57,37.55,R,A
White,M,Fire Department,46,50.86,R,A
White,M,Seattle Public Utilities,55,67.49,R,A
White,F,Seattle Center,78,18.69,T,A
White,M,Fire Department,46,52.94,R,A
White,M,Seattle Dept of Transportation,72,57.55,R,A
White,M,Finance & Admin Services,63,41.38,R,A
White,M,Seattle Center,46,36.05,T,A
White,M,Fire Department,46,50.24,R,A
White,M,Parks & Recreation,31,18.69,T,A
White,M,Parks & Recreation,67,27.19,R,L
White,M,Police Department,40,55.34,R,A
White,M,Seattle City Light,38,42.44,R,A
White,M,Fire Department,28,49.97,R,A
White,M,Fire Department,55,61.39,R,A
White,M,Fire Department,48,62.49,R,A
White,M,Seattle City Light,50,61.19,R,A
White,M,Finance & Admin Services,60,83.551,R,A
White,M,Information Technology,41,49.49,R,A
White,M,Seattle Dept of Transportation,56,77.05,R,A
White,M,Seattle City Light,68,61.86,R,A
White,F,Fire Department,58,51.7,R,A
White,M,Police Department,44,46.68,R,A
White,F,Human Services Department,58,55.44,R,A
White,M,Fire Department,58,57.74,R,A
White,F,Office of Economic Development,52,69.819,R,A
White,F,Municipal Court,68,34.3,T,A
White,F,Seattle Public Utilities,44,67.49,R,A
White,M,Fire Department,31,48.15,R,A
White,F,Commnty Sfty and Comm Ctr Dept,35,40.67,R,A
White,F,Seattle Dept of Transportation,52,31.35,R,A
White,M,Seattle Dept of Human Resource,47,54.34,R,A
White,M,Police Department,26,47.69,R,A
White,F,Sustainability & Environment,48,31.35,R,A
White,M,Seattle Dept of Transportation,37,41.27,R,A
White,M,Police Department,49,58.75,R,A
White,M,Parks & Recreation,19,21.05,T,A
White,F,Seattle Public Library,36,47.59,R,A
White,M,Seattle City Light,59,70.5986,R,A
White,F,Seattle Dept of Human Resource,56,54.34,R,A
White,M,Fire Department,40,46.06,R,A
White,M,Seattle City Light,54,74.79,R,A
White,M,Police Department,55,62.41,R,A
White,F,Seattle Public Utilities,49,43.34,R,A
White,F,Finance & Admin Services,45,58.7,T,A
White,M,Seattle Center,52,36.05,T,A
White,F,Parks & Recreation,51,41.83,R,A
White,M,Seattle City Light,31,61.86,R,A
White,F,Seattle City Light,35,61.0503,R,A
White,M,Fire Department,45,49.82,R,A
White,M,Information Technology,41,62.898,R,A
White,F,Seattle Public Utilities,62,59.87,R,A
White,F,Human Services Department,40,36.47,R,A
White,M,Police Department,46,44.01,R,A
White,M,Fire Department,30,36.9,R,A
White,M,Construction & Inspections,53,66.65,R,A
White,F,Seattle Public Utilities,64,31.35,R,A
White,M,Seattle Public Library,52,30.68,R,A
White,M,Police Department,38,45.96,R,P
White,F,Police Department,32,65.445,R,A
White,N,Seattle City Light,51,62.45,R,A
White,M,Seattle Public Utilities,52,37.29,R,A
White,M,Parks & Recreation,57,48.03,R,A
White,F,Seattle Public Utilities,63,85.506,R,A
White,M,Seattle Public Utilities,58,18.69,R,A
White,M,Police Department,37,54.29,R,A
White,M,Legislative Department,33,65.82,R,A
White,M,Information Technology,54,61.737,R,A
White,F,Parks & Recreation,56,21.44,R,A
White,M,Parks & Recreation,20,25.46,T,A
White,F,Planning & Comm Development,59,55.44,R,A
White,M,Law Department,41,29.03,R,A
White,M,Seattle Public Utilities,56,52.41,R,A
White,F,Construction & Inspections,30,60.16,R,A
White,F,Seattle Public Library,47,23.46,R,A
White,F,Municipal Court,63,34.22,R,A
White,F,Seattle Dept of Human Resource,42,55.542,R,A
White,M,Police Department,22,40.06,R,A
White,M,Fire Department,45,48.98,R,A
White,M,Police Department,39,56.39,R,A
White,M,Parks & Recreation,56,22.86,T,A
White,M,Seattle Public Utilities,63,62.715,R,A
White,M,Seattle Center,58,31.35,R,A
White,M,Police Department,44,60.06,R,A
White,M,Police Department,49,58.75,R,P
White,M,Seattle Public Utilities,47,64.99,R,A
White,F,Seattle Center,46,46.68,R,A
White,M,Parks & Recreation,33,23.62,T,A
White,M,Law Department,57,29.03,R,A
White,M,Police Department,49,60.58,R,A
White,F,Seattle Dept of Transportation,44,55.73,R,A
White,M,Seattle City Light,53,55.63,R,A
White,F,Human Services Department,46,36.47,T,A
White,M,Seattle Public Library,55,81.569,R,A
White,N,Seattle Public Utilities,27,23.4,T,A
White,F,Seattle Center,67,18.69,T,A
White,F,Seattle Dept of Transportation,26,47.51,R,A
White,M,Seattle Public Utilities,41,43.34,R,A
White,M,Parks & Recreation,24,18.69,T,A
White,M,Fire Department,37,36.9,R,A
White,M,Law Department,47,43.59,R,A
White,F,Finance & Admin Services,40,39.8,R,A
White,M,Parks & Recreation,51,19.64,R,A
White,F,Police Department,41,58.75,R,A
White,F,Parks & Recreation,60,46.68,R,A
White,M,Seattle Public Utilities,33,34.52,R,A
White,M,Fire Department,39,46.9,R,A
White,F,Information Technology,47,63.88,R,A
White,F,Fire Department,29,38.98,R,A
White,F,Information Technology,58,93.343,R,A
White,M,Seattle Public Utilities,66,40.79,R,A
White,M,Police Department,52,63.46,R,A
White,M,Municipal Court,58,66.716,R,A
White,M,Fire Department,56,51.7,R,A
White,M,Seattle City Light,30,74.868,R,A
White,F,Sustainability & Environment,52,58.695,R,A
White,F,Police Department,62,62.68,R,A
White,M,Finance & Admin Services,48,41.38,R,A
White,M,Off of Emergency Mngmnt Dept,41,31.35,R,A
White,F,Human Services Department,37,37.84,R,A
White,M,Seattle City Light,52,54.45,R,A
White,M,Police Department,45,42.96,R,A
White,F,Parks & Recreation,27,25.46,T,A
White,M,Seattle City Light,30,45.17,R,A
White,M,Seattle Public Utilities,39,53.45,R,A
White,M,Parks & Recreation,20,20.27,R,A
White,F,Sustainability & Environment,54,61.05,R,A
White,F,Municipal Court,48,32.45,R,A
White,F,Human Services Department,45,38.57,R,A
White,M,Fire Department,38,36.9,R,A
White,F,Seattle Public Utilities,34,30.09,R,A
White,F,Seattle City Light,22,19.09,T,A
White,M,Law Department,36,56.99,R,A
White,M,Fire Department,38,35.05,R,A
White,F,Seattle Dept of Transportation,70,61,R,A
White,F,Seattle Public Utilities,38,53.2,R,A
White,F,Seattle Dept of Human Resource,45,56.36,R,A
White,F,Legislative Department,49,43.06,R,A
White,F,Law Department,40,76.859,R,A
White,M,Police Department,41,66.09,R,A
White,F,Parks & Recreation,28,22.96,T,A
White,M,Seattle Dept of Transportation,34,67.49,R,A
White,F,Construction & Inspections,38,28,T,A
White,F,Finance & Admin Services,38,66.88,R,A
White,M,Law Department,45,87.8,R,A
White,F,Fire Department,43,49.82,R,A
White,M,Police Department,35,63.68,R,A
White,M,Seattle City Light,26,61.86,R,A
White,F,Seattle Public Utilities,60,53.2,R,A
White,M,Seattle City Light,54,61.86,R,A
White,F,Human Services Department,54,42.57,R,A
White,M,Seattle Public Utilities,56,72.75,R,A
White,M,Finance & Admin Services,27,41.38,R,A
White,M,Parks & Recreation,19,19.51,T,A
White,M,Parks & Recreation,17,19.51,T,A
White,M,Seattle City Light,40,28,R,A
White,M,Police Department,34,26.05,R,A
White,M,Police Department,67,34.05,R,A
White,M,Seattle Dept of Transportation,30,38.83,R,A
White,F,Information Technology,63,62.073,R,A
White,M,Seattle Center,58,36.05,T,A
White,M,Police Department,52,62.41,R,P
White,M,Police Department,51,59.27,R,A
White,F,Human Services Department,48,18.69,R,A
White,M,Police Department,36,45.96,R,A
White,M,Fire Department,59,59.33,R,A
White,M,Fire Department,56,52.12,R,A
White,M,Parks & Recreation,33,21.05,T,A
White,M,Fire Department,49,55.15,R,A
White,M,Fire Department,25,34.81,R,A
White,F,Seattle Dept of Transportation,36,61,R,A
White,F,Community Police Commission,61,53.64,R,A
White,F,Police Department,58,31.35,R,A
White,F,Seattle Center,43,35.26,R,A
White,M,Seattle Dept of Transportation,32,42.91,R,A
White,M,Parks & Recreation,52,20.75,T,A
White,F,Police Department,27,29.03,R,A
White,M,Seattle Public Utilities,32,43.34,R,A
White,F,Commnty Sfty and Comm Ctr Dept,33,32.47,R,A
White,M,Police Department,58,60.31,R,A
White,M,Fire Department,51,63.33,R,A
White,F,Parks & Recreation,69,19.29,T,A
White,F,Finance & Admin Services,30,44.95,R,A
White,F,Seattle Public Library,23,23.46,R,A
White,M,Police Department,61,114.75,R,A
White,M,Police Department,58,63.46,R,A
White,M,Parks & Recreation,29,30.48,T,A
White,F,Parks & Recreation,19,18.69,T,A
White,F,Seattle Public Library,40,38.42,R,A
White,F,Parks & Recreation,50,37.1,R,A
White,M,Fire Department,47,46.9,R,A
White,M,Police Department,43,69.11,R,A
White,F,Seattle Dept of Transportation,45,90.62,R,A
White,M,Seattle City Light,45,61.86,R,A
White,M,Fire Department,51,62.23,R,A
White,M,Seattle City Light,55,61.86,R,A
White,M,Seattle Dept of Transportation,53,35.16,R,A
White,F,Seattle City Light,52,45.96,R,A
White,M,Construction & Inspections,58,56.25,R,A
White,M,Parks & Recreation,33,33.33,R,A
White,F,Parks & Recreation,60,18.69,T,A
White,M,Seattle Dept of Transportation,58,37.84,R,A
White,F,Police Department,38,109.861,R,A
White,M,Fire Department,49,75.75,R,A
White,M,Seattle City Light,35,47.62,R,A
White,F,Seattle City Light,68,34.47,R,A
White,M,Fire Department,28,43.15,R,A
White,F,Seattle Public Library,28,24.67,R,A
White,M,Seattle City Light,52,69.07,R,A
White,F,Neighborhoods,26,41.667,R,A
White,F,Parks & Recreation,17,21.05,T,A
White,M,Parks & Recreation,38,19.85,T,A
White,M,Police Department,37,31.36,R,A
White,M,Seattle Center,38,36.05,T,A
White,M,Fire Department,58,51.7,R,A
White,M,Information Technology,38,59.353,R,A
White,F,Law Department,46,35.05,R,A
White,M,Seattle Dept of Transportation,57,37.36,R,A
White,F,Police Department,69,33.78,R,A
White,F,Seattle City Light,34,41.45,R,A
White,M,Police Department,26,45.96,R,A
White,M,Construction & Inspections,56,59.56,R,A
White,M,Seattle Dept of Transportation,42,72.75,R,A
White,M,Construction & Inspections,57,66.617,R,A
White,M,Seattle Public Utilities,46,38,R,A
White,F,Commnty Sfty and Comm Ctr Dept,32,36.31,R,A
White,M,Seattle City Light,30,44.05,R,A
White,M,Fire Department,29,43.15,R,A
White,F,Fire Department,52,50.86,R,A
White,M,Fire Department,47,55.66,R,A
White,M,Seattle Public Library,45,28.5,R,A
White,M,Seattle City Light,62,78.884,R,A
White,F,Police Department,52,90.63,R,A
White,M,Police Department,34,54.29,R,A
White,M,Finance & Admin Services,55,55.44,R,A
White,M,Seattle City Light,39,61.86,R,A
White,M,Seattle City Light,43,58.55,R,A
White,M,Seattle Dept of Transportation,68,51.32,R,A
White,M,Parks & Recreation,19,19.51,T,A
White,F,Construction & Inspections,47,61.192,R,A
White,M,Fire Department,53,49.82,R,A
White,F,Seattle Center,70,22.01,R,A
White,M,Finance & Admin Services,38,49.24,R,A
White,M,Fire Department,51,54.19,R,A
White,M,Seattle Public Library,39,28.5,R,A
White,F,Fire Department,43,49.4,R,A
White,M,Education & Early Learning,36,47.57,R,A
White,M,Finance & Admin Services,53,31.63,T,A
White,F,Information Technology,47,52,R,A
White,F,Parks & Recreation,44,30.09,R,A
White,M,Information Technology,44,56.46,R,A
White,M,Parks & Recreation,67,25.46,T,A
White,M,Seattle Public Utilities,59,41.61,R,A
White,M,Seattle Center,66,36.05,T,A
White,M,Parks & Recreation,66,35.05,R,A
White,F,Law Department,54,33.14,R,A
White,M,Seattle City Light,28,52.41,R,A
White,F,Information Technology,49,46.68,R,A
White,M,Fire Department,28,50.23,R,A
White,F,Finance & Admin Services,63,52,T,A
White,F,Fire Department,62,65.83,R,A
White,F,Police Department,50,46.68,R,A
White,M,Seattle City Light,64,54.6,R,A
White,F,Finance & Admin Services,64,71.8,T,A
White,M,Municipal Court,64,45,R,A
White,M,Parks & Recreation,54,35.05,R,A
White,M,Police Department,58,60.85,R,A
White,M,Seattle Dept of Transportation,50,46.29,R,A
White,F,Seattle City Light,44,61.86,R,A
White,M,Seattle City Light,68,65.17,R,A
White,F,Seattle Center,49,46.68,R,A
White,F,Construction & Inspections,66,48.31,R,A
White,M,Fire Department,39,47.74,R,A
White,M,Fire Department,50,51.07,R,A
White,F,Law Department,48,75.495,R,A
White,M,Fire Department,40,43.98,R,A
White,F,Finance & Admin Services,64,31.35,R,A
White,M,Seattle Public Utilities,63,41.61,R,A
White,M,Seattle Center,61,36.05,T,A
White,M,Seattle City Light,48,28.66,R,A
White,M,Parks & Recreation,18,18.69,T,A
White,M,Finance & Admin Services,43,49.89,R,A
White,F,Intergovernment Relations,32,64.895,R,A
White,N,Seattle Public Library,31,39.89,R,A
White,M,Seattle Center,63,27.19,R,A
White,F,Police Department,45,58.75,R,A
White,F,Seattle City Light,59,47.57,R,A
White,M,Seattle Center,70,18.69,T,A
White,F,Seattle City Light,66,58.36,R,A
White,M,Seattle City Light,58,64.3442,R,A
White,M,Seattle Dept of Transportation,26,23.4,T,A
White,M,Seattle City Light,39,60.762,R,A
White,F,Police Department,25,26.99,R,A
White,F,Seattle Center,42,36.05,T,A
White,M,Seattle Public Utilities,54,67.49,R,A
White,M,Police Department,42,60.84,R,A
White,F,Law Department,52,89.095,R,A
White,F,Information Technology,50,71.265,R,A
White,F,Information Technology,33,87.5,R,A
White,M,Seattle Public Utilities,62,55.062,R,A
White,M,Seattle City Light,56,69.6,R,A
White,M,Seattle Center,44,36.05,T,A
White,F,Parks & Recreation,56,39.28,R,A
White,M,Police Department,52,69.11,R,A
White,M,Construction & Inspections,55,52.41,R,A
White,M,Fire Department,49,73.32,R,A
White,M,Seattle City Light,30,41.45,R,A
White,F,Seattle City Light,43,59.55,R,A
White,F,Seattle Public Library,32,27.14,R,A
White,M,Seattle Public Library,37,27.05,R,A
White,F,Information Technology,52,60.96,R,A
White,M,Seattle Dept of Transportation,60,45.81,R,A
White,M,Seattle City Light,43,69.6,R,A
White,M,Fire Department,44,53.15,R,A
White,M,Fire Department,29,43.15,R,A
White,M,Human Services Department,36,39.28,R,A
White,M,Seattle Dept of Human Resource,49,54.34,R,A
White,F,Information Technology,32,61.573,R,A
White,M,Police Department,39,66.09,R,A
White,M,Police Department,41,66.09,R,A
White,M,Fire Department,38,46.48,R,A
White,M,City Budget Office,42,62.9,R,A
White,M,Parks & Recreation,56,29.03,R,A
White,M,Seattle Dept of Transportation,40,56.52,R,A
White,M,Seattle Dept of Human Resource,45,63.985,R,A
White,M,Office of Economic Development,61,50.931,R,A
White,M,Police Department,46,55.34,R,A
White,M,Police Department,42,57.44,R,A
White,M,Police Department,38,54.29,R,A
White,F,Information Technology,46,71.093,R,A
White,F,Seattle Public Utilities,52,67.49,R,A
White,F,Police Department,54,34.05,R,A
White,M,Finance & Admin Services,30,31.7,R,A
White,M,Fire Department,60,62.23,R,A
White,F,Fire Department,49,50.86,R,A
White,M,Seattle Dept of Transportation,54,72.774,R,A
White,M,Seattle Dept of Transportation,27,46.61,R,A
White,M,Seattle Public Utilities,31,26.33,T,A
White,M,Commnty Sfty and Comm Ctr Dept,33,31.3,R,A
White,F,Seattle Public Utilities,61,58,T,A
White,M,Seattle Dept of Transportation,52,35.4,R,A
White,M,Seattle City Light,23,41.45,R,A
White,F,Seattle Public Library,37,38.42,R,A
White,F,Seattle Public Library,29,35.15,R,A
White,F,Education & Early Learning,42,62.221,R,A
White,F,Police Department,44,29.03,R,A
White,F,Police Department,52,34.05,R,A
White,F,Parks & Recreation,20,19.51,T,A
White,M,Fire Department,57,62.23,R,A
White,M,Seattle City Light,64,64.5704,R,A
White,M,Seattle Public Utilities,34,27.6,R,A
White,M,Police Department,31,63.68,R,A
White,F,Seattle Public Utilities,41,64,R,A
White,F,Parks & Recreation,32,19.29,T,A
White,M,Fire Department,50,52.52,R,A
White,M,Parks & Recreation,42,46.68,R,A
White,M,Human Services Department,70,39.28,R,A
White,M,Police Department,60,58.75,R,A
White,M,Law Department,57,89.095,R,A
White,F,Seattle Public Utilities,53,46.68,R,A
White,M,Seattle Dept of Transportation,54,70.63,R,A
White,F,Information Technology,46,87.185,R,A
White,M,Fire Department,42,54.11,R,A
White,M,Seattle Public Utilities,54,37.29,R,A
White,F,Parks & Recreation,77,18.69,T,A
White,M,Construction & Inspections,45,52.18,R,A
White,M,Seattle City Light,55,60.59,R,A
White,M,Police Department,38,55.34,R,A
White,F,Seattle Dept of Transportation,37,51.25,R,A
White,F,Office for Civil Rights,49,56.5,R,A
White,M,Seattle City Light,43,69.6,R,A
White,F,Human Services Department,53,39.28,R,A
White,M,Seattle Center,33,21.96,T,A
White,M,Parks & Recreation,47,60.78,R,A
White,F,Police Department,51,91.6,R,A
White,M,Police Department,41,57.44,R,A
White,M,Seattle City Light,47,61.86,R,A
White,M,Parks & Recreation,38,22.26,R,A
White,M,Construction & Inspections,44,78.122,R,A
White,F,Finance & Admin Services,56,67.53,R,A
White,M,Parks & Recreation,17,19.51,T,A
White,F,Construction & Inspections,42,66.617,R,A
White,M,Police Department,47,60.58,R,A
White,M,Police Department,47,61.36,R,A
White,F,Seattle Public Library,45,46.07,R,A
White,M,Seattle Dept of Transportation,48,66.35,R,A
White,M,Seattle Center,53,36.05,T,A
White,M,Fire Department,59,50.02,R,A
White,F,Sustainability & Environment,49,80.46,R,A
White,F,Construction & Inspections,56,78.122,R,A
White,M,Police Department,41,60.84,R,A
White,M,Fire Department,44,49.82,R,A
White,M,Seattle Public Library,42,55.06,R,A
White,M,Seattle Dept of Transportation,37,55.73,R,A
White,M,Fire Department,33,43.15,R,A
White,F,Finance & Admin Services,30,41.66,R,A
White,M,Police Department,54,60.84,R,A
White,F,Office of Labor Standards,37,61.11,R,A
White,M,Construction & Inspections,68,71.08,R,A
White,M,Seattle Center,91,18.69,T,A
White,M,Seattle Center,66,36.05,T,A
White,F,Seattle Public Utilities,45,60.509,R,A
White,M,Finance & Admin Services,61,41.38,R,A
White,M,Fire Department,53,51.7,R,A
White,F,Seattle Dept of Transportation,55,87.7,R,A
White,M,Police Department,37,57.44,R,A
White,M,Seattle City Light,60,39.53,R,A
White,M,Seattle City Light,53,46.33,R,A
White,M,Parks & Recreation,63,34.08,R,A
White,M,Police Department,54,70.61,R,A
White,M,Commnty Sfty and Comm Ctr Dept,28,34.96,R,A
White,F,Seattle Public Library,17,19.87,R,A
White,M,Seattle City Light,20,24.78,T,A
White,F,Police Department,49,59.8,R,A
White,M,Police Department,46,69.71,R,A
White,M,Fire Department,49,55.03,R,A
White,F,Seattle Public Library,59,28.5,R,A
White,M,Fire Department,52,50.86,R,A
White,F,Police Department,30,54.29,R,A
White,M,Seattle City Light,56,42.42,R,A
White,M,Police Department,39,57.44,R,A
White,M,Seattle Center,60,39.7,T,A
White,M,Seattle City Light,45,78.53,R,A
White,M,Seattle Public Library,28,26.53,R,A
White,F,Seattle Dept of Transportation,32,62.45,R,A
White,M,Seattle City Light,21,39.52,R,A
White,M,Seattle Center,48,36.05,T,A
White,M,Seattle City Light,35,54.6,R,A
White,M,Police Department,61,107.85,R,A
White,M,Fire Department,32,36.9,R,A
White,F,Seattle Public Utilities,46,30.87,T,A
White,F,Office of Inspector General,27,48.56,R,A
White,F,Finance & Admin Services,38,68.94,R,A
White,M,Police Department,24,45.96,R,A
White,M,Fire Department,45,46.9,R,A
White,M,Fire Department,38,43.15,R,A
White,M,Construction & Inspections,42,52.18,R,A
White,M,Construction & Inspections,51,52.41,R,A
White,F,Seattle Dept of Transportation,52,29.03,T,A
White,F,Parks & Recreation,27,34.58,R,A
White,M,Seattle Public Utilities,30,44.86,R,A
White,M,Seattle Public Library,31,23.46,R,A
White,M,Parks & Recreation,36,18.69,T,A
White,F,Seattle Public Utilities,48,57,R,A
White,M,Parks & Recreation,67,43.45,R,A
White,F,Police Department,43,54.55,R,A
White,M,Construction & Inspections,48,56.25,R,A
White,F,Police Department,46,47.69,R,A
White,M,Seattle Center,80,18.69,T,A
White,M,Seattle Dept of Transportation,49,70.633,R,A
White,F,Municipal Court,33,40.85,R,A
White,M,Construction & Inspections,45,39.16,R,A
White,M,Police Department,35,55.44,R,A
White,F,Human Services Department,46,39.28,R,A
White,M,Seattle Dept of Transportation,37,56.52,R,A
White,M,Finance & Admin Services,29,18.69,R,A
White,F,Seattle Public Utilities,37,52,T,A
White,M,Fire Department,25,43.15,R,A
White,F,Seattle Center,60,57.468,R,A
White,M,Planning & Comm Development,51,66.62,R,A
White,F,Law Department,54,76.201,R,A
White,F,Finance & Admin Services,58,77.268,R,A
White,F,Seattle City Light,35,61.19,R,A
White,M,Finance & Admin Services,54,41.38,R,A
White,M,Seattle Dept of Transportation,50,28.31,T,A
White,F,Seattle Public Utilities,46,60.32,R,A
White,F,Seattle Center,47,36.05,T,A
White,F,Seattle Public Utilities,50,79.0129,R,A
White,M,Police Department,38,55.34,R,A
White,M,Seattle Public Utilities,42,38.12,R,A
White,F,Police Department,39,34.05,R,A
White,M,Police Department,45,46.68,R,A
White,F,Seattle Dept of Transportation,47,70.63,R,A
White,F,Seattle City Light,40,57.38,R,A
White,M,Seattle Dept of Transportation,36,64.99,R,A
White,M,Finance & Admin Services,34,53.45,R,A
White,F,Seattle Public Utilities,56,46.68,R,A
White,M,Seattle City Light,56,69.6,R,A
White,M,Parks & Recreation,42,25.58,T,A
White,F,Seattle Public Library,51,23.46,R,A
White,F,Law Department,28,29.54,R,A
White,F,Construction & Inspections,34,66.617,R,A
White,M,Seattle City Light,59,63.32,R,A
White,M,Parks & Recreation,39,43.34,R,A
White,F,Police Department,49,110.219,R,A
White,M,Police Department,50,59.53,R,A
White,M,Finance & Admin Services,63,38.32,R,A
White,M,Information Technology,48,65.091,R,A
White,M,Finance & Admin Services,44,44.79,R,A
White,F,Police Department,52,60.58,R,A
White,M,Information Technology,61,76.77,R,A
White,F,Seattle Public Library,40,58.9,R,A
White,F,Seattle City Light,28,23.14,R,A
White,M,Seattle Dept of Transportation,42,49.4,R,A
White,M,Fire Department,32,43.98,R,A
White,F,Neighborhoods,46,49.359,R,A
White,M,Seattle City Light,52,69.6,R,A
White,M,Fire Department,52,57.23,R,A
White,F,Fire Department,56,46.68,R,A
White,F,Parks & Recreation,53,20.75,T,A
White,M,Information Technology,46,61.915,R,A
White,M,Seattle City Light,54,61.86,R,A
White,M,Seattle Dept of Transportation,52,59.55,R,A
White,M,Police Department,46,34.05,R,A
White,F,Seattle Center,66,55.44,R,A
